GEO_NAME,Arab,Black,Chinese,Filipino,Japanese,Korean,Latin American,Multiple Indigenous ancestries (only),Multiple Indigenous and non-Indigenous ancestries,Multiple visible minorities,Single Indigenous ancestry (only),Single Indigenous and non-Indigenous ancestries,South Asian,Southeast Asian,"Visible minority, n.i.e.",West Asian
"Brockville, City (CY)",175.0,170.0,165.0,145.0,35.0,20.0,95.0,0.0,12.0,55.0,103.75,563.75,440.0,35.0,30.0,35.0
"Brokenhead 4, Indian reserve (IRI)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,168.75,33.75,0.0,0.0,0.0,0.0
"Bromont, Ville (V)",20.0,50.0,55.0,20.0,20.0,0.0,65.0,0.0,0.0,10.0,72.5,151.25,0.0,15.0,0.0,10.0
Brooks,75.0,3270.0,320.0,1960.0,55.0,40.0,650.0,0.0,6.0,60.0,63.75,180.0,205.0,415.0,45.0,15.0
"Brooks, City (CY)",75.0,3270.0,320.0,1960.0,55.0,40.0,650.0,0.0,6.0,60.0,63.75,180.0,205.0,415.0,45.0,15.0
"Brossard, Ville (V)",6600.0,5760.0,14400.0,830.0,105.0,590.0,4615.0,0.0,0.0,1585.0,140.0,407.5,4440.0,2475.0,295.0,3150.0
"Bruderheim, Town (T)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,50.0,0.0,0.0,0.0,0.0
"Buckland No. 491, Rural municipality (RM)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,10.0,113.75,200.0,0.0,0.0,0.0,0.0
"Buena Vista, Village (VL)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0
"Burlington, City (CY)",4100.0,4670.0,4380.0,3010.0,530.0,1385.0,3205.0,0.0,18.0,1830.0,256.25,1457.5,11955.0,1065.0,850.0,1410.0
"Burnaby, City (CY)",2540.0,4985.0,81795.0,14290.0,3765.0,9335.0,6155.0,15.0,34.0,6400.0,711.25,1547.5,23155.0,6270.0,1565.0,6435.0
"Burrard Inlet 3, Indian reserve (IRI)",0.0,30.0,105.0,65.0,25.0,55.0,35.0,0.0,4.0,20.0,62.5,95.0,65.0,15.0,0.0,50.0
"Bécancour, Ville (V)",0.0,55.0,0.0,30.0,15.0,0.0,25.0,0.0,0.0,0.0,112.5,178.75,10.0,25.0,0.0,0.0
"Bégin, Municipalité (MÉ)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
"Cacouna, Municipalité (MÉ)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,16.25,0.0,0.0,0.0,0.0
"Caledon, Town (T)",495.0,2770.0,750.0,735.0,80.0,145.0,1310.0,0.0,13.0,615.0,68.75,300.0,16310.0,370.0,875.0,565.0
Calgary,32450.0,75650.0,93510.0,89055.0,6330.0,12985.0,34395.0,176.0,475.0,20485.0,8122.5,20352.5,153205.0,28395.0,5785.0,15725.0
"Calgary, City (CY)",30735.0,70680.0,91410.0,84215.0,5825.0,12380.0,31855.0,148.0,411.0,18955.0,7062.5,16912.5,141660.0,26395.0,5445.0,15150.0
"Callander, Municipality (MU)",0.0,10.0,40.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,35.0,98.75,0.0,0.0,0.0,0.0
"Calmar, Town (T)",20.0,10.0,20.0,20.0,0.0,0.0,45.0,0.0,0.0,0.0,32.5,121.25,0.0,0.0,0.0,0.0
"Cambridge, City (CY)",1445.0,4880.0,1300.0,1815.0,180.0,310.0,2360.0,6.0,16.0,1055.0,373.75,1536.25,16095.0,1700.0,905.0,680.0
Campbell River,15.0,220.0,245.0,425.0,115.0,130.0,125.0,16.0,26.0,40.0,1036.25,1527.5,540.0,265.0,45.0,0.0
"Campbell River 11, Indian reserve (IRI)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,117.5,63.75,0.0,0.0,0.0,0.0
"Campbell River, City (CY)",15.0,175.0,230.0,400.0,110.0,105.0,120.0,14.0,22.0,40.0,731.25,1312.5,535.0,245.0,40.0,0.0
Campbellton,50.0,55.0,20.0,35.0,0.0,0.0,0.0,0.0,0.0,25.0,311.25,301.25,90.0,0.0,0.0,0.0
"Campbellton, City (C)",50.0,55.0,20.0,25.0,0.0,0.0,0.0,0.0,0.0,25.0,161.25,170.0,75.0,0.0,0.0,0.0
Camrose,45.0,285.0,140.0,910.0,0.0,20.0,95.0,10.0,18.0,50.0,208.75,511.25,345.0,40.0,30.0,0.0
"Camrose, City (CY)",45.0,285.0,140.0,910.0,0.0,20.0,95.0,10.0,18.0,50.0,208.75,511.25,345.0,40.0,30.0,0.0
"Candiac, Ville (V)",670.0,495.0,1190.0,30.0,40.0,80.0,765.0,0.0,0.0,175.0,118.75,175.0,155.0,185.0,20.0,305.0
