GEO_NAME,Immigrants,Non-immigrants,Non-permanent residents
"Larouche, Municipalité (MÉ)",0.0,1600.0,0.0
"Lashburn, Town (T)",0.0,925.0,0.0
"Laurentian Valley, Township (TP)",94.0,9090.0,0.0
"Laval, Ville (V)",38112.0,288925.0,5310.0
"Lavaltrie, Ville (V)",144.0,13845.0,10.0
"Leamington, Municipality (MU)",2022.0,19655.0,1290.0
"Leduc County, Municipal district (MD)",317.0,13130.0,30.0
"Leduc, City (CY)",1297.0,29410.0,160.0
"Lefebvre, Municipalité (MÉ)",0.0,915.0,10.0
"Legal, Town (T)",9.0,1085.0,0.0
"Lepreau, Parish (P)",4.0,785.0,0.0
"Les Coteaux, Municipalité (MÉ)",39.0,5470.0,0.0
"Les Cèdres, Municipalité (MÉ)",119.0,6635.0,90.0
Lethbridge,5181.0,101375.0,1735.0
"Lethbridge County, Municipal district (MD)",314.0,7805.0,160.0
"Lethbridge, City (CY)",4364.0,80370.0,1415.0
"Lincoln, Parish (P)",45.0,7325.0,0.0
"Lincoln, Town (T)",956.0,21225.0,70.0
"Linkletter, Rural municipality (RM)",2.0,280.0,0.0
"Lions Bay, Village (VL)",131.0,910.0,0.0
Lloydminster,1519.0,31030.0,270.0
"Lloydminster (Part), City (CY)",747.0,13088.0,138.0
"Lochaber, Canton (municipalité de) (CT)",3.0,400.0,0.0
"Lochaber-Partie-Ouest, Canton (municipalité de) (CT)",6.0,900.0,0.0
"Logan Lake, District municipality (DM)",60.0,2025.0,0.0
"Logy Bay-Middle Cove-Outer Cove, Town (T)",32.0,2230.0,30.0
London,33218.0,400620.0,19560.0
"London, City (CY)",29976.0,293750.0,19220.0
"Longueuil, Ville (V)",15903.0,190085.0,7275.0
"Lorraine, Ville (V)",306.0,8350.0,50.0
"Loyalist, Township (TP)",366.0,15490.0,20.0
"Lumsden Beach, Resort village (RV)",0.0,45.0,0.0
"Lumsden No. 189, Rural municipality (RM)",8.0,1905.0,0.0
"Lumsden, Town (T)",22.0,1680.0,0.0
"Léry, Ville (V)",49.0,2210.0,0.0
"Lévis, Ville (V)",1646.0,139205.0,1730.0
"Macdonald, Meredith and Aberdeen Additional, Township (TP)",13.0,1460.0,0.0
"Macdonald, Rural municipality (RM)",167.0,7300.0,10.0
"Macpherson-Grizzly Valley, Unorganized (NO)",51.0,1325.0,15.0
"Magog, Ville (V)",286.0,25830.0,120.0
"Manners Sutton, Parish (P)",21.0,1845.0,0.0
"Maple Ridge, City (CY)",5674.0,68805.0,825.0
"Markham, City (CY)",54217.0,129645.0,10065.0
"Markstay-Warren, Municipality (MU)",23.0,2615.0,0.0
"Marsh Lake, Unorganized (NO)",17.0,665.0,0.0
"Marshall, Town (T)",2.0,495.0,0.0
"Martensville, City (CY)",187.0,9865.0,75.0
"Mascouche, Ville (V)",1088.0,46070.0,230.0
"Massey Drive, Town (T)",11.0,1565.0,0.0
Matane,62.0,17520.0,290.0
"Matane, Ville (V)",48.0,13100.0,260.0
"Matsqui 4, Indian reserve (IRI)",16.0,375.0,0.0
"Maugerville, Parish (P)",13.0,1720.0,0.0
"Mayo, Municipalité (MÉ)",0.0,730.0,0.0
"McMasterville, Municipalité (MÉ)",62.0,5375.0,0.0
"McNab/Braeside, Township (TP)",89.0,7245.0,0.0
"McTaggart, Village (VL)",0.0,135.0,0.0
"Meacham, Village (VL)",0.0,55.0,0.0
"Meadows, Town (T)",4.0,475.0,0.0
"Meath Park, Village (VL)",3.0,140.0,0.0
Medicine Hat,2151.0,66665.0,700.0
"Medicine Hat, City (CY)",1831.0,55115.0,605.0
"Memramcook, Village (VL)",59.0,4770.0,50.0
"Mercier, Ville (V)",491.0,12815.0,85.0
"Metchosin, District municipality (DM)",168.0,4030.0,40.0
"Metro Vancouver A, Regional district electoral area (RDA)",2366.0,6070.0,3155.0
"Middlesex Centre, Municipality (MU)",559.0,16545.0,60.0
Midland,605.0,24020.0,80.0
"Midland, Town (T)",449.0,15665.0,75.0
"Milton, Town (T)",16058.0,74110.0,2045.0
"Miltonvale Park, Rural municipality (RM)",13.0,1075.0,10.0
"Mirabel, Ville (V)",968.0,57200.0,300.0
Miramichi,258.0,26065.0,110.0
"Miramichi, City (C)",194.0,16445.0,105.0
"Miscouche, Fire district (FD)",14.0,795.0,0.0
"Miscouche, Rural municipality (RM)",7.0,930.0,0.0
"Mission, District municipality (DM)",1900.0,33430.0,335.0
"Mississauga, City (CY)",106718.0,306375.0,27030.0
"Mississippi Mills, Town (T)",289.0,13320.0,15.0
Moncton,4401.0,136130.0,4775.0
"Moncton, City (C)",2837.0,65255.0,3690.0
"Moncton, Parish (P)",122.0,10185.0,15.0
"Mono, Town (T)",492.0,7435.0,15.0
"Mont-Royal, Ville (V)",2101.0,12360.0,1140.0
"Mont-Saint-Hilaire, Ville (V)",274.0,17215.0,95.0
"Montrose, Village (VL)",13.0,940.0,0.0
Montréal,295978.0,3021825.0,161680.0
"Montréal, Ville (V)",168291.0,1017325.0,129780.0
"Montréal-Est, Ville (V)",156.0,3630.0,110.0
"Montréal-Ouest, Ville (V)",345.0,3665.0,165.0
Moose Jaw,992.0,30475.0,570.0
"Moose Jaw No. 161, Rural municipality (RM)",10.0,1155.0,0.0
"Moose Jaw, City (CY)",981.0,29315.0,565.0
"Morden, City (CY)",604.0,7830.0,30.0
"Morinville, Town (T)",146.0,9610.0,30.0
"Mount Moriah, Town (T)",1.0,690.0,0.0
"Mount Pearl, City (CY)",152.0,21740.0,105.0
"Mount Stewart, Rural municipality (RM)",0.0,230.0,0.0
"Mt. Lorne, Hamlet (HAM)",12.0,390.0,10.0
"Mulgrave-et-Derry, Municipalité (MÉ)",2.0,445.0,0.0
"Musquash, Parish (P)",14.0,1195.0,0.0
Nanaimo,4796.0,93330.0,1885.0
